employee_id,first_name,last_name,email,phone,hire_date,department_id,job_id,manager_id,salary
1,John,Smith,john.smith@company.com,555-0101,2020-01-15,1,1,2,75000
2,Sarah,Johnson,sarah.johnson@company.com,555-0102,2019-03-22,2,2,1,85000
3,Michael,Williams,michael.williams@company.com,555-0103,2021-06-10,1,3,2,65000
4,Emily,Brown,emily.brown@company.com,555-0104,2020-09-05,3,4,1,70000
5,David,Jones,david.jones@company.com,555-0105,2022-02-18,2,5,2,60000
6,Lisa,Garcia,lisa.garcia@company.com,555-0106,2019-11-30,4,6,1,80000
7,James,Martinez,james.martinez@company.com,555-0107,2021-04-12,3,7,4,55000
8,Jennifer,Davis,jennifer.davis@company.com,555-0108,2020-07-25,1,8,2,62000
9,Robert,Rodriguez,robert.rodriguez@company.com,555-0109,2022-01-08,4,9,6,58000
10,Maria,Wilson,maria.wilson@company.com,555-0110,2021-10-15,2,10,2,68000
